tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20150101,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7001.37,7271.21,7001.37,7250.82,,4.22,24214472458.0,2271.79,,,2015-01-01,,2271.79
20150105,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7001.37,7271.21,7001.37,7250.82,,4.22,24214472458.0,2271.79,,,2015-01-05,,2271.79
20150106,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7216.76,7354.19,7168.33,7247.74,,-0.04,23466567209.0,2267.07,,,2015-01-06,,2267.07
20150107,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7188.45,7266.0,7124.35,7256.46,,0.12,16858436700.0,1693.67,,,2015-01-07,,1693.67
20150108,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7241.11,7241.11,7045.88,7046.07,,-2.9,15293327974.0,1491.61,,,2015-01-08,,1491.61
20150109,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7001.8,7226.22,6972.35,6988.24,,-0.82,18712661949.0,1898.62,,,2015-01-09,,1898.62
20150112,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6923.12,6923.12,6770.53,6809.99,,-2.55,12812696689.0,1367.07,,,2015-01-12,,1367.07
20150113,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6797.84,6867.44,6787.99,6825.34,,0.23,8061929733.0,850.74,,,2015-01-13,,850.74
20150114,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6835.89,6877.69,6745.36,6792.51,,-0.48,9980095708.0,976.04,,,2015-01-14,,976.04
20150115,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6793.36,7016.67,6768.13,7016.67,,3.3,12385718621.0,1332.43,,,2015-01-15,,1332.43
20150116,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,7041.37,7104.63,7034.7,7070.01,,0.76,14737185501.0,1544.09,,,2015-01-16,,1544.09
20150119,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6680.05,6818.97,6425.75,6457.53,,-8.66,17280640658.0,1588.44,,,2015-01-19,,1588.44
20150120,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6463.23,6607.09,6454.25,6560.92,,1.6,14120121656.0,1439.53,,,2015-01-20,,1439.53
20150121,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6586.95,6853.65,6564.46,6850.48,,4.41,16563129675.0,1628.86,,,2015-01-21,,1628.86
20150122,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6847.08,6883.38,6799.36,6872.61,,0.32,12245285038.0,1244.64,,,2015-01-22,,1244.64
20150123,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6901.34,6959.33,6845.8,6861.78,,-0.16,13275784067.0,1381.7,,,2015-01-23,,1381.7
20150126,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6851.38,6940.95,6823.12,6940.95,,1.15,10053383603.0,1009.15,,,2015-01-26,,1009.15
20150127,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6944.97,6944.97,6786.76,6890.5,,-0.73,13125350436.0,1345.87,,,2015-01-27,,1345.87
20150128,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6838.71,6891.21,6801.25,6816.86,,-1.07,9567884429.0,960.51,,,2015-01-28,,960.51
20150129,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6730.36,6793.95,6723.66,6759.33,,-0.84,10725563413.0,999.26,,,2015-01-29,,999.26
20150130,930955,中证红利低波动100指数,红利低波100,CSI Dividend Low Volatility 100 Index,Dividend Low Volatility100,6774.18,6793.03,6659.52,6659.52,,-1.48,9302558583.0,893.82,,,2015-01-30,,893.82
