tradeDate,indexCode,indexNameCnAll,indexNameCn,indexNameEnAll,indexNameEn,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg,date,rolling_pe,trading_value
20170505,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12305.64,,-0.31,3716173956.0,418.06,,10.44,2017-05-05,10.44,418.06
20170508,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12256.12,,-0.4,4010192447.0,459.78,,10.44,2017-05-08,10.44,459.78
20170509,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12256.28,,0.0,2661093627.0,318.73,,10.41,2017-05-09,10.41,318.73
20170510,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12179.02,,-0.63,3075737489.0,388.32,,10.44,2017-05-10,10.44,388.32
20170511,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12267.07,,0.72,3783613514.0,407.08,,10.54,2017-05-11,10.54,407.08
20170512,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12361.98,,0.77,3992780715.0,432.54,,10.68,2017-05-12,10.68,432.54
20170515,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12425.17,,0.51,3211467601.0,384.35,,10.73,2017-05-15,10.73,384.35
20170516,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12532.85,,0.87,3740905037.0,440.92,,10.71,2017-05-16,10.71,440.92
20170517,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12469.88,,-0.5,3621221085.0,429.34,,10.61,2017-05-17,10.61,429.34
20170518,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12436.87,,-0.26,2983607856.0,338.66,,10.61,2017-05-18,10.61,338.66
20170519,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12483.44,,0.37,2454663855.0,295.58,,10.64,2017-05-19,10.64,295.58
20170522,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12502.23,,0.15,3297498907.0,393.22,,10.73,2017-05-22,10.73,393.22
20170523,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12567.34,,0.52,4583714165.0,554.32,,10.89,2017-05-23,10.89,554.32
20170524,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12569.94,,0.02,3206343053.0,400.53,,10.85,2017-05-24,10.85,400.53
20170525,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12712.32,,1.13,6078895252.0,650.53,,10.9,2017-05-25,10.9,650.53
20170526,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12742.4,30.08,0.24,4174814350.0,484.31,100.0,10.9,2017-05-26,10.9,484.31
20170531,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12784.33,41.93,0.33,4071204978.0,497.55,100.0,10.93,2017-05-31,10.93,497.55
20170601,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12809.42,25.1,0.2,3751938325.0,481.77,100.0,11.02,2017-06-01,11.02,481.77
20170602,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12812.29,2.86,0.02,3333233034.0,403.64,100.0,10.97,2017-06-02,10.97,403.64
20170605,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12743.2,-69.08,-0.54,3793499320.0,401.61,100.0,10.81,2017-06-05,10.81,401.61
20170606,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12774.18,30.98,0.24,2467540994.0,324.97,100.0,10.85,2017-06-06,10.85,324.97
20170607,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,12898.6,124.43,0.97,4020466771.0,511.36,100.0,10.94,2017-06-07,10.94,511.36
20170608,H20955,中证红利低波动100全收益指数,红利低波100全收益,CSI Dividend Low Volatility 100 Total Return Index,Dividend Low Volatility100 TRI,,,,13009.72,111.12,0.86,3339345194.0,463.91,100.0,11.02,2017-06-08,11.02,463.91
