date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,pe,pe2,dividend_yield,dividend_yield2
2026-06-30,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,33.14,36.05,0.0116,1.03
2026-07-01,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,33.22,36.02,0.0115,1.03
2026-07-02,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,32.11,34.7,0.011899999999999999,1.07
2026-07-03,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,32.34,34.94,0.011899999999999999,1.06
2026-07-06,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.93,34.55,0.012,1.07
2026-07-07,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.36,33.96,0.012199999999999999,1.09
2026-07-08,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.86,33.46,0.0124,1.11
2026-07-09,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.65,34.47,0.0121,1.07
2026-07-10,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,31.18,33.89,0.0123,1.09
2026-07-13,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,29.88,32.41,0.0128,1.14
2026-07-14,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.47,33.01,0.0126,1.12
2026-07-15,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,30.09,32.5,0.0127,1.14
2026-07-16,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,29.41,31.73,0.013000000000000001,1.17
2026-07-17,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,27.91,29.99,0.0137,1.24
2026-07-20,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,27.64,29.57,0.0139,1.25
2026-07-21,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,28.89,31.12,0.0132,1.19
2026-07-22,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,28.7,30.88,0.013300000000000001,1.2
2026-07-23,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,28.72,30.86,0.013300000000000001,1.2
2026-07-24,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,27.97,30.06,0.0137,1.23
2026-07-27,905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,28.66,30.82,0.0134,1.2
