date,指数代码Index Code,指数中文全称Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称English Name(Full),指数英文简称Index English Name,pe,pe2,dividend_yield,dividend_yield2
2026-06-30,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.09,7.11,0.0535,5.13
2026-07-01,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.12,7.18,0.0533,5.08
2026-07-02,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.13,7.24,0.053200000000000004,5.04
2026-07-03,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.13,7.25,0.053200000000000004,5.03
2026-07-06,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.25,7.4,0.052300000000000006,4.93
2026-07-07,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.3,7.36,0.052000000000000005,4.96
2026-07-08,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.4,7.43,0.0513,4.91
2026-07-09,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.34,7.35,0.051699999999999996,4.97
2026-07-10,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.34,7.35,0.051699999999999996,4.96
2026-07-13,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.5,7.46,0.0506,4.89
2026-07-14,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.53,7.52,0.050300000000000004,4.85
2026-07-15,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.59,7.62,0.05,4.79
2026-07-16,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.51,7.55,0.050499999999999996,4.83
2026-07-17,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.62,7.57,0.049800000000000004,4.82
2026-07-20,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.87,7.76,0.0482,4.7
2026-07-21,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.69,7.66,0.0493,4.76
2026-07-22,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.79,7.7,0.0487,4.74
2026-07-23,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.83,7.73,0.048499999999999995,4.72
2026-07-24,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.87,7.67,0.0482,4.76
2026-07-27,H30269,中证红利低波动指数,红利低波,CSI Dividend Low Volatility Index,CSI Dividend Low Volatility,7.85,7.7,0.0483,4.74
