pe,dividend_yield,date
50.56,0.004699999999999999,2020-07-31
52.39,0.0045000000000000005,2020-08-31
49.56,0.0049,2020-09-30
52.68,0.0046,2020-10-31
56.07,0.0043,2020-11-30
60.12,0.0037,2020-12-31
67.45,0.0032,2021-01-31
59.09,0.0028000000000000004,2021-02-28
-35.99,0.0027,2021-03-31
21.07,0.003,2021-04-30
101.02,0.0032,2021-05-31
181.82,0.0029,2021-06-30
126.45,0.0034000000000000002,2021-07-31
125.31,0.0034000000000000002,2021-08-31
-139.82,0.0036,2021-09-30
-146.12,0.0034999999999999996,2021-10-31
-138.09,0.0036,2021-11-30
-141.52,0.0038,2021-12-31
-139.31,0.004,2022-01-31
-347.61,0.004699999999999999,2022-02-28
28.19,0.005,2022-03-31
82.56,0.0052,2022-04-30
89.83,0.0055000000000000005,2022-05-31
95.0,0.0043,2022-06-30
84.49,0.0048,2022-07-31
83.36,0.0049,2022-08-31
421.93,0.005600000000000001,2022-09-30
348.85,0.0067,2022-10-31
464.5,0.0051,2022-11-30
-289.82,0.0044,2022-12-31
-317.52,0.004,2023-01-31
-828.14,0.0048,2023-02-28
102.39,0.0068000000000000005,2023-03-31
104.66,0.0076,2023-04-30
103.42,0.008199999999999999,2023-05-31
102.7,0.008199999999999999,2023-06-30
119.46,0.0070999999999999995,2023-07-31
109.74,0.0077,2023-08-31
90.15,0.0089,2023-09-30
86.44,0.0092,2023-10-31
89.67,0.0098,2023-11-30
91.55,0.011000000000000001,2023-12-31
73.1,0.0138,2024-01-31
66.72,0.0121,2024-02-29
24.89,0.0095,2024-03-31
26.52,0.009000000000000001,2024-04-30
27.34,0.0097,2024-05-31
27.08,0.0101,2024-06-30
26.79,0.0102,2024-07-31
27.29,0.0101,2024-08-31
36.95,0.0077,2024-09-30
34.46,0.008199999999999999,2024-10-31
33.34,0.0084,2024-11-30
35.8,0.0084,2024-12-31
41.91,0.0068000000000000005,2025-02-28
26.39,0.0087,2025-03-31
25.23,0.0092,2025-04-30
23.86,0.009300000000000001,2025-05-31
22.82,0.0098,2025-06-30
23.47,0.0095,2025-07-31
24.42,0.0091,2025-08-31
28.0,0.0076,2025-09-30
25.79,0.0083,2025-10-31
24.44,0.0088,2025-11-30
24.89,0.0086,2025-12-31
25.8,0.0083,2026-01-31
21.8,0.009399999999999999,2026-02-28
29.29,0.0108,2026-03-31
30.8,0.0101,2026-04-30
30.83,0.0101,2026-05-31
