date,open,close,high,low,volume
2020-07-27,6918.050,6774.78,7014.840,6677.160,33996718926.000
2020-07-28,6930.580,7012.62,7012.620,6902.570,31258068018.000
2020-07-29,6971.980,7085.15,7099.940,6951.100,27630978071.000
2020-07-30,7160.240,7100.21,7244.190,7083.790,33183331148.000
2020-07-31,7193.550,7155.03,7285.560,7108.150,30021155569.000
2020-08-03,7255.440,7292.45,7311.530,7127.200,37492356926.000
2020-08-04,7390.330,7436.59,7448.950,7330.110,42416721559.000
2020-08-05,7488.740,7547.2,7547.200,7398.660,38104773642.000
2020-08-06,7579.880,7576.84,7588.850,7420.510,37406633787.000
2020-08-07,7551.800,7386.66,7551.800,7144.760,70178609194.000
2020-08-10,7279.540,7176.17,7279.540,7119.290,49962010276.000
2020-08-11,7217.050,7129.84,7274.640,7085.290,34138386619.000
2020-08-12,7086.930,7010.72,7086.930,6833.880,36322573807.000
2020-08-13,7116.740,7031.81,7133.180,7008.400,30799262896.000
2020-08-14,7019.180,7038.26,7091.000,6975.840,24645903322.000
2020-08-17,7037.860,7075.03,7117.170,7004.770,30808865651.000
2020-08-18,7147.730,7196.01,7196.010,7075.060,43286242318.000
2020-08-19,7187.710,7150.41,7251.570,7131.430,30192498414.000
2020-08-20,7183.250,7167.6,7183.250,7060.780,30889528746.000
2020-08-21,7205.570,7168.87,7208.730,7104.010,39589425093.000
2020-08-24,7247.600,7329.91,7332.190,7198.760,56436028552.000
2020-08-25,7348.100,7223.67,7355.490,7153.690,44702265398.000
2020-08-26,7311.500,7275.44,7326.570,7219.820,46129333343.000
2020-08-27,7352.090,7540.86,7574.230,7311.000,53847079197.000
2020-08-28,7521.870,7580.9,7745.920,7430.020,59077048315.000
2020-08-31,7746.630,7543.86,7771.280,7543.860,51557261448.000
2020-09-01,7556.900,7674.71,7683.660,7526.330,43257921707.000
2020-09-02,7874.070,7909.39,7909.390,7764.780,47394135603.000
2020-09-03,7889.480,7706.06,7889.480,7678.150,47776283772.000
2020-09-04,7342.830,7588.02,7622.350,7290.830,90576490999.000
2020-09-07,7481.190,7240.96,7487.950,7213.810,59922354878.000
2020-09-08,7301.720,7123.28,7326.010,7007.090,45807037629.000
2020-09-09,6984.190,7015.64,7086.740,6906.750,38553288243.000
2020-09-10,7133.840,6999.72,7200.800,6994.630,30700239844.000
2020-09-11,7001.260,7178.27,7195.960,6986.970,29193159907.000
2020-09-14,7235.430,7317.31,7345.080,7232.970,32177797435.000
2020-09-15,7327.130,7348.72,7374.480,7281.240,37439527704.000
2020-09-16,7401.880,7430.09,7464.420,7370.020,31676459245.000
2020-09-17,7403.110,7301.56,7433.000,7245.870,29872475797.000
2020-09-18,7314.720,7371.82,7371.820,7237.950,36083178454.000
2020-09-21,7408.780,7195.75,7422.870,7188.840,29079648084.000
2020-09-22,7202.010,7233.32,7319.080,7144.890,23895000224.000
2020-09-23,7270.290,7298.62,7327.990,7235.370,24246687692.000
2020-09-24,7218.710,7054.28,7223.840,7051.110,28707589598.000
2020-09-25,7110.420,6918.77,7134.450,6860.750,25978384815.000
2020-09-28,6921.460,6978.59,6998.210,6897.620,22131828687.000
2020-09-29,7063.950,6977.3,7078.740,6965.700,19504610381.000
2020-09-30,7017.170,7087.64,7143.140,6981.220,28785341208.000
2020-10-05,7255.730,7092.06,7255.730,7049.820,26841057144.000
2020-10-06,7154.800,7336.35,7350.200,7141.420,23725819659.000
2020-10-07,7358.220,7494.59,7494.590,7300.090,27067897421.000
2020-10-08,7527.520,7511.11,7527.520,7438.450,23547206387.000
2020-10-09,7567.750,7503.27,7597.290,7467.870,33374242469.000
2020-10-12,7575.670,7748.85,7749.980,7575.670,39308018582.000
2020-10-14,7878.840,7819.84,7878.840,7725.800,46173015080.000
2020-10-15,7766.270,7541.04,7769.070,7504.740,35448238078.000
2020-10-16,7661.680,7604.61,7675.580,7540.760,25269710808.000
2020-10-19,7687.370,7570.71,7723.860,7559.620,27300801690.000
2020-10-20,7592.770,7644.48,7644.480,7516.300,24623499109.000
2020-10-21,7707.120,7618.06,7732.200,7609.390,24737162323.000
2020-10-22,7624.140,7620.34,7624.140,7495.480,23183394450.000
2020-10-23,7600.350,7484.48,7600.350,7441.650,21142866427.000
2020-10-27,7457.470,7547.66,7603.440,7449.860,35949373667.000
2020-10-28,7577.040,7656.45,7694.830,7520.690,43179391727.000
2020-10-29,7508.240,7675.42,7729.820,7485.710,42676357380.000
2020-10-30,7691.830,7534.39,7778.820,7509.780,48789231242.000
2020-11-02,7601.140,7585.76,7643.020,7474.700,29395564722.000
2020-11-03,7626.980,7714.73,7774.110,7626.980,35943762224.000
2020-11-04,7594.790,7758.72,7817.480,7574.610,76188310121.000
2020-11-05,8062.580,8181.62,8181.620,8045.110,62413987339.000
2020-11-06,8200.200,8152.54,8229.280,8020.850,53585623900.000
2020-11-09,8325.850,8394.19,8524.940,8324.450,54645910466.000
2020-11-10,8214.520,7961.74,8214.520,7841.110,85029066673.000
2020-11-11,7724.610,7465.44,7827.500,7450.350,110960443492.000
2020-11-12,7679.100,7706.58,7812.500,7672.130,58508505071.000
2020-11-13,7772.010,7939.72,7939.720,7714.360,51916188437.000
2020-11-16,8075.930,8075.83,8079.540,7890.320,44595911963.000
2020-11-17,8044.210,7933.13,8044.210,7838.900,45546470750.000
2020-11-18,7940.060,7972.21,7986.660,7885.910,32974624891.000
2020-11-19,7946.250,7903.37,7946.250,7799.560,33253566706.000
2020-11-20,7975.980,7997.52,8038.460,7949.210,34896256494.000
2020-11-23,8100.090,8088.86,8105.540,8038.790,49194082193.000
2020-11-24,8186.200,8107.1,8186.200,8044.510,42682643140.000
2020-11-25,8131.230,7921.35,8159.030,7869.310,46342067395.000
2020-11-26,7983.530,8057.14,8057.140,7936.820,29055268302.000
2020-11-27,8075.110,8090.05,8139.550,8042.460,26281483194.000
2020-11-30,8095.440,8019.36,8143.400,7993.320,55720967015.000
2020-12-01,8041.660,7985.36,8049.230,7941.870,41847155152.000
2020-12-02,7998.060,7848.25,7998.060,7820.790,71659857931.000
2020-12-03,7895.370,7940.19,7942.150,7869.100,36755762346.000
2020-12-04,7969.580,7952.8,8012.790,7928.560,51237685495.000
2020-12-07,7974.950,7944.79,8011.290,7847.390,35671294629.000
2020-12-08,7939.810,8085.11,8136.730,7916.240,33127678802.000
2020-12-09,8144.800,8101.77,8206.080,8066.770,38847417392.000
2020-12-10,8004.560,8025.83,8044.070,7955.620,31430191229.000
2020-12-11,8123.040,8080.6,8143.590,8037.630,33841559487.000
2020-12-14,8056.270,8128.81,8156.090,8005.060,47593017893.000
2020-12-15,8149.850,8094.42,8149.850,8028.900,49388023603.000
2020-12-16,8158.800,8146.4,8173.260,8085.680,36351689344.000
2020-12-17,8205.810,8332.66,8332.660,8186.120,33447926964.000
2020-12-18,8324.890,8253.83,8345.770,8221.540,43652526733.000
2020-12-21,8243.120,8159.95,8277.370,8159.950,35438935496.000
2020-12-22,8164.530,8186.66,8253.320,8091.290,33001028572.000
2020-12-23,8207.800,8426.07,8480.350,8204.420,43923247106.000
2020-12-24,8348.440,8142.81,8352.800,8122.620,46077806437.000
2020-12-28,8063.450,7795.78,8070.260,7768.810,92954424469.000
2020-12-29,7908.690,7997.83,8072.710,7908.690,55339244949.000
2020-12-30,8078.280,8295.37,8311.500,8078.280,55935632106.000
2020-12-31,8332.260,8425.9,8445.600,8332.010,31497337300.000
2021-01-04,8376.850,8489.69,8544.870,8360.830,51526633124.000
2021-01-05,8422.180,8463.55,8504.650,8385.740,51318472393.000
2021-01-06,8574.370,8609.6,8699.840,8510.400,68493922252.000
2021-01-07,8559.090,8400.85,8559.090,8301.000,69047930026.000
2021-01-08,8450.050,8630.32,8694.400,8450.050,57253476560.000
2021-01-11,8730.590,8665.47,8839.760,8614.550,68429159706.000
2021-01-12,8685.240,8726.64,8758.240,8619.410,48563669125.000
2021-01-13,8781.510,8669.71,8813.340,8600.120,48662224509.000
2021-01-14,8774.840,8895.21,8901.830,8711.660,63683822032.000
2021-01-15,8814.550,8775.54,8818.390,8640.520,89639438909.000
2021-01-18,8715.320,9116.24,9122.710,8688.630,74079139560.000
2021-01-19,9228.150,9374.79,9526.280,9228.150,91602051044.000
2021-01-20,9493.740,9885.22,9885.220,9474.550,107762991859.000
2021-01-21,9915.870,9809.84,9981.710,9736.290,79566723943.000
2021-01-22,9811.680,9765.76,9952.940,9707.080,69546263313.000
2021-01-25,9841.330,10206.61,10228.700,9841.330,101693414752.000
2021-01-26,10142.510,9967.45,10279.960,9843.290,89667265884.000
2021-01-27,10055.500,9807.73,10057.240,9603.170,79189368963.000
2021-01-28,9564.890,9372.88,9791.850,9339.480,80134130164.000
2021-01-29,9543.200,9358.11,9709.450,9283.930,66996702156.000
2021-02-01,9438.360,9765.89,9792.880,9385.430,59574982177.000
2021-02-02,9987.000,9976.44,10096.400,9951.120,65321640033.000
2021-02-03,10056.560,10125.72,10137.860,9907.630,63594835612.000
2021-02-04,10034.240,9897.37,10042.800,9678.400,79612944255.000
2021-02-05,9935.470,9795.16,9996.240,9770.240,57066007799.000
2021-02-08,9930.310,9756.81,9947.750,9727.460,39239686555.000
2021-02-09,9810.070,9961.71,9970.910,9780.070,32446038425.000
2021-02-10,10100.710,10214.73,10219.760,10021.700,47238138329.000
2021-02-11,10219.060,10411.2,10411.200,10094.850,28510670338.000
2021-02-16,10620.970,10694.68,10785.980,10585.650,67255634801.000
2021-02-17,10658.240,10945.22,10945.220,10555.630,58364758325.000
